Ax,Ay,Az,Gx,Gy,Gz,Label
-0.012,-0.025,1.018,0.175,-2.021,0.087,Idle
-0.012,-0.024,1.017,0.175,-2.021,0.096,Idle
-0.012,-0.024,1.018,0.184,-1.995,0.105,Idle
-0.013,-0.024,1.019,0.210,-2.056,0.105,Idle
-0.011,-0.024,1.017,0.192,-2.047,0.070,Idle
-0.012,-0.025,1.019,0.192,-2.065,0.052,Idle
-0.012,-0.024,1.020,0.192,-2.021,0.079,Idle
-0.012,-0.025,1.018,0.210,-2.013,0.052,Idle
-0.013,-0.024,1.018,0.210,-2.013,0.087,Idle
-0.012,-0.024,1.018,0.210,-2.021,0.079,Idle
-0.012,-0.024,1.017,0.201,-2.039,0.044,Idle
-0.012,-0.024,1.019,0.175,-2.030,0.114,Idle
-0.012,-0.024,1.018,0.210,-2.021,0.096,Idle
-0.013,-0.024,1.018,0.192,-2.021,0.105,Idle
-0.012,-0.023,1.019,0.175,-2.004,0.105,Idle
-0.012,-0.025,1.018,0.192,-2.004,0.123,Idle
-0.011,-0.025,1.019,0.192,-2.047,0.052,Idle
-0.012,-0.024,1.019,0.192,-1.960,0.105,Idle
-0.012,-0.024,1.019,0.192,-2.030,0.070,Idle
-0.012,-0.024,1.018,0.192,-2.013,0.096,Idle
-0.012,-0.024,1.019,0.192,-2.021,0.061,Idle
-0.012,-0.024,1.018,0.192,-2.039,0.061,Idle
-0.013,-0.025,1.019,0.219,-2.004,0.096,Idle
-0.012,-0.023,1.019,0.192,-2.056,0.096,Idle
-0.012,-0.025,1.019,0.175,-2.047,0.044,Idle
-0.013,-0.024,1.019,0.175,-2.030,0.061,Idle
-0.014,-0.024,1.019,0.175,-2.047,0.044,Idle
-0.012,-0.025,1.018,0.192,-2.039,0.114,Idle
-0.012,-0.025,1.018,0.166,-2.030,0.114,Idle
-0.012,-0.024,1.019,0.201,-2.004,0.114,Idle
-0.012,-0.024,1.018,0.201,-2.030,0.105,Idle
-0.012,-0.024,1.018,0.175,-1.995,0.105,Idle
-0.012,-0.024,1.019,0.192,-2.030,0.105,Idle
-0.012,-0.024,1.021,0.219,-2.039,0.079,Idle
-0.013,-0.024,1.020,0.184,-2.056,0.061,Idle
-0.014,-0.025,1.014,0.166,-2.065,0.079,Idle
-0.012,-0.026,1.012,0.166,-2.056,0.061,Idle
-0.012,-0.022,1.024,0.210,-2.021,0.114,Idle
-0.008,-0.023,1.023,0.219,-2.039,0.096,Idle
-0.012,-0.023,1.021,0.166,-2.021,0.096,Idle
-0.012,-0.023,1.017,0.219,-2.021,0.052,Idle
-0.013,-0.025,1.017,0.192,-2.021,0.096,Idle
-0.012,-0.023,1.023,0.236,-2.082,0.087,Idle
-0.013,-0.024,1.019,0.192,-2.021,0.087,Idle
-0.012,-0.025,1.014,0.175,-2.039,0.070,Idle
-0.012,-0.024,1.020,0.184,-2.004,0.070,Idle
-0.012,-0.024,1.020,0.175,-2.056,0.079,Idle
-0.012,-0.024,1.020,0.201,-1.986,0.096,Idle
-0.012,-0.024,1.019,0.157,-2.021,0.096,Idle
-0.012,-0.024,1.020,0.201,-2.047,0.096,Idle
-0.013,-0.025,1.017,0.184,-1.995,0.096,Idle
-0.012,-0.024,1.019,0.166,-2.047,0.087,Idle
-0.012,-0.024,1.019,0.201,-2.056,0.044,Idle
-0.012,-0.023,1.019,0.175,-2.039,0.052,Idle
-0.012,-0.025,1.018,0.184,-2.021,0.079,Idle
-0.013,-0.026,1.016,0.236,-2.021,0.096,Idle
-0.014,-0.025,1.016,0.201,-2.013,0.052,Idle
-0.013,-0.024,1.018,0.201,-2.013,0.052,Idle
-0.012,-0.023,1.021,0.192,-2.056,0.070,Idle
-0.012,-0.023,1.019,0.192,-2.039,0.087,Idle
-0.013,-0.025,1.021,0.166,-2.047,0.114,Idle
-0.012,-0.025,1.016,0.201,-2.013,0.079,Idle
-0.012,-0.024,1.017,0.201,-2.021,0.079,Idle
-0.014,-0.025,1.019,0.166,-2.021,0.087,Idle
-0.011,-0.025,1.017,0.166,-1.995,0.035,Idle
-0.013,-0.023,1.021,0.157,-2.074,0.061,Idle
-0.012,-0.024,1.022,0.184,-2.013,0.114,Idle
-0.012,-0.023,1.021,0.184,-2.082,0.087,Idle
-0.013,-0.024,1.020,0.166,-1.995,0.105,Idle
-0.013,-0.024,1.017,0.228,-2.047,0.079,Idle
-0.013,-0.025,1.017,0.175,-1.995,0.079,Idle
-0.013,-0.025,1.017,0.219,-2.030,0.070,Idle
-0.012,-0.025,1.017,0.192,-1.995,0.087,Idle
-0.013,-0.024,1.020,0.131,-2.056,0.061,Idle
-0.013,-0.024,1.018,0.166,-2.021,0.096,Idle
-0.013,-0.025,1.019,0.192,-1.995,0.070,Idle
-0.011,-0.025,1.019,0.175,-2.065,0.079,Idle
-0.013,-0.024,1.019,0.210,-2.013,0.087,Idle
-0.013,-0.024,1.020,0.175,-2.074,0.087,Idle
-0.012,-0.024,1.019,0.166,-2.030,0.087,Idle
-0.013,-0.025,1.018,0.192,-2.004,0.087,Idle
-0.012,-0.024,1.019,0.192,-2.039,0.087,Idle
-0.012,-0.024,1.019,0.210,-2.004,0.096,Idle
-0.013,-0.024,1.019,0.192,-1.995,0.026,Idle
-0.012,-0.024,1.019,0.192,-2.013,0.070,Idle
-0.012,-0.024,1.020,0.192,-2.082,0.105,Idle
-0.012,-0.024,1.018,0.210,-2.047,0.052,Idle
-0.013,-0.023,1.020,0.192,-1.995,0.079,Idle
-0.012,-0.025,1.019,0.210,-2.056,0.123,Idle
-0.013,-0.024,1.018,0.219,-2.030,0.087,Idle
-0.012,-0.023,1.019,0.192,-2.004,0.087,Idle
-0.013,-0.025,1.019,0.175,-2.039,0.061,Idle
-0.012,-0.024,1.019,0.219,-2.021,0.061,Idle
-0.012,-0.024,1.018,0.123,-2.030,0.087,Idle
-0.012,-0.024,1.019,0.184,-1.969,0.079,Idle
-0.013,-0.024,1.019,0.166,-2.004,0.087,Idle
-0.012,-0.024,1.018,0.184,-2.021,0.096,Idle
-0.012,-0.024,1.019,0.210,-2.013,0.000,Idle
-0.013,-0.024,1.019,0.157,-2.065,0.079,Idle
-0.012,-0.024,1.019,0.192,-2.004,0.061,Idle
-0.012,-0.024,1.020,0.175,-1.986,0.087,Idle
-0.013,-0.025,1.018,0.184,-2.047,0.096,Idle
-0.013,-0.025,1.017,0.184,-2.021,0.105,Idle
-0.013,-0.024,1.016,0.149,-2.021,0.087,Idle
-0.013,-0.025,1.017,0.175,-2.047,0.061,Idle
-0.012,-0.024,1.020,0.175,-2.065,0.052,Idle
-0.012,-0.024,1.019,0.149,-2.013,0.061,Idle
-0.012,-0.024,1.019,0.192,-2.047,0.079,Idle
-0.012,-0.024,1.019,0.175,-2.004,0.079,Idle
-0.013,-0.025,1.018,0.175,-2.065,0.061,Idle
-0.011,-0.024,1.020,0.245,-2.030,0.105,Idle
-0.012,-0.024,1.016,0.192,-1.977,0.096,Idle
-0.013,-0.024,1.018,0.157,-2.056,0.035,Idle
-0.011,-0.024,1.019,0.157,-2.021,0.044,Idle
-0.012,-0.025,1.019,0.192,-2.030,0.140,Idle
-0.011,-0.024,1.019,0.192,-1.986,0.061,Idle
-0.013,-0.024,1.017,0.166,-2.013,0.105,Idle
-0.013,-0.024,1.018,0.236,-1.986,0.123,Idle
-0.012,-0.025,1.020,0.201,-2.047,0.087,Idle
-0.013,-0.024,1.018,0.201,-2.039,0.061,Idle
-0.012,-0.025,1.019,0.192,-2.021,0.079,Idle
-0.012,-0.024,1.021,0.192,-2.056,0.087,Idle
-0.012,-0.025,1.018,0.201,-2.013,0.061,Idle
-0.012,-0.023,1.019,0.166,-2.013,0.052,Idle
-0.013,-0.025,1.019,0.184,-1.977,0.079,Idle
-0.013,-0.025,1.018,0.210,-2.039,0.140,Idle
-0.013,-0.024,1.018,0.166,-2.039,0.061,Idle
-0.013,-0.024,1.017,0.157,-2.065,0.052,Idle
-0.012,-0.024,1.019,0.219,-2.030,0.070,Idle
-0.013,-0.025,1.017,0.157,-1.977,0.087,Idle
-0.013,-0.024,1.018,0.166,-1.986,0.087,Idle
-0.013,-0.023,1.021,0.184,-2.039,0.061,Idle
-0.013,-0.024,1.018,0.201,-2.030,0.114,Idle
-0.012,-0.023,1.020,0.166,-2.004,0.131,Idle
-0.013,-0.024,1.018,0.166,-2.021,0.044,Idle
-0.013,-0.025,1.020,0.201,-2.030,0.105,Idle
-0.013,-0.024,1.020,0.140,-2.004,0.079,Idle
-0.012,-0.023,1.018,0.210,-2.013,0.087,Idle
-0.012,-0.023,1.017,0.210,-2.056,0.079,Idle
-0.012,-0.023,1.020,0.210,-2.056,0.079,Idle
-0.013,-0.025,1.020,0.201,-2.013,0.096,Idle
-0.013,-0.024,1.018,0.149,-2.021,0.087,Idle
-0.012,-0.024,1.018,0.184,-2.030,0.087,Idle
-0.012,-0.025,1.017,0.201,-2.013,0.087,Idle
-0.013,-0.025,1.015,0.166,-2.004,0.070,Idle
-0.011,-0.024,1.022,0.157,-1.986,0.052,Idle
-0.012,-0.024,1.020,0.192,-2.030,0.096,Idle
-0.012,-0.024,1.019,0.219,-2.091,0.079,Idle
-0.013,-0.024,1.020,0.210,-2.004,0.079,Idle
-0.013,-0.023,1.019,0.166,-2.030,0.087,Idle
-0.012,-0.025,1.019,0.184,-2.039,0.052,Idle
-0.012,-0.024,1.020,0.210,-2.039,0.096,Idle
-0.013,-0.024,1.018,0.228,-1.995,0.087,Idle
-0.013,-0.024,1.019,0.175,-2.021,0.105,Idle
-0.011,-0.024,1.019,0.201,-2.004,0.070,Idle
-0.012,-0.025,1.019,0.210,-2.065,0.079,Idle
-0.012,-0.024,1.018,0.210,-2.030,0.087,Idle
-0.012,-0.024,1.018,0.184,-2.039,0.096,Idle
-0.014,-0.025,1.017,0.192,-2.004,0.079,Idle
-0.012,-0.025,1.018,0.192,-2.030,0.079,Idle
-0.012,-0.024,1.017,0.228,-2.013,0.052,Idle
-0.013,-0.024,1.018,0.228,-2.004,0.087,Idle
-0.011,-0.024,1.019,0.192,-2.013,0.123,Idle
-0.013,-0.025,1.018,0.210,-1.986,0.105,Idle
-0.012,-0.024,1.019,0.149,-2.039,0.035,Idle
-0.012,-0.024,1.019,0.192,-2.047,0.070,Idle
-0.013,-0.025,1.019,0.184,-1.995,0.096,Idle
-0.013,-0.025,1.019,0.157,-2.056,0.087,Idle
-0.012,-0.024,1.018,0.201,-2.013,0.105,Idle
-0.013,-0.023,1.019,0.184,-2.013,0.087,Idle
-0.013,-0.023,1.020,0.149,-2.004,0.087,Idle
-0.012,-0.024,1.020,0.219,-2.004,0.087,Idle
-0.011,-0.024,1.019,0.157,-1.995,0.105,Idle
-0.013,-0.025,1.020,0.201,-2.021,0.096,Idle
-0.013,-0.024,1.019,0.149,-2.039,0.079,Idle
-0.012,-0.024,1.020,0.140,-2.021,0.105,Idle
-0.013,-0.024,1.020,0.219,-2.047,0.070,Idle
-0.013,-0.024,1.018,0.192,-2.030,0.079,Idle
-0.013,-0.025,1.018,0.184,-2.013,0.052,Idle
-0.012,-0.023,1.019,0.175,-2.021,0.096,Idle
-0.013,-0.024,1.019,0.166,-2.021,0.079,Idle
-0.013,-0.024,1.018,0.184,-2.030,0.123,Idle
-0.013,-0.024,1.019,0.192,-2.030,0.079,Idle
-0.012,-0.024,1.017,0.166,-2.021,0.096,Idle
-0.013,-0.025,1.018,0.149,-2.013,0.140,Idle
-0.012,-0.024,1.019,0.210,-2.039,0.087,Idle
-0.013,-0.024,1.019,0.140,-2.065,0.087,Idle
-0.012,-0.024,1.020,0.166,-2.030,0.009,Idle
-0.012,-0.025,1.019,0.157,-2.013,0.052,Idle
-0.012,-0.024,1.018,0.184,-2.004,0.035,Idle
-0.012,-0.024,1.018,0.175,-2.100,0.079,Idle
-0.013,-0.025,1.017,0.210,-2.047,0.096,Idle
-0.013,-0.024,1.020,0.201,-2.030,0.087,Idle
-0.011,-0.024,1.020,0.210,-2.013,0.079,Idle
-0.013,-0.024,1.017,0.175,-2.021,0.044,Idle
-0.013,-0.023,1.019,0.157,-2.013,0.070,Idle
-0.013,-0.024,1.018,0.175,-1.986,0.105,Idle
-0.013,-0.025,1.019,0.219,-2.039,0.070,Idle
-0.012,-0.024,1.018,0.201,-1.977,0.087,Idle
-0.014,-0.025,1.019,0.166,-1.986,0.070,Idle
-0.012,-0.024,1.019,0.184,-2.047,0.070,Idle
-0.012,-0.025,1.019,0.219,-2.030,0.079,Idle
-0.013,-0.025,1.016,0.166,-1.960,0.070,Idle
-0.012,-0.024,1.018,0.166,-1.995,0.105,Idle
-0.013,-0.025,1.017,0.201,-2.039,0.044,Idle
-0.013,-0.024,1.016,0.228,-2.039,0.079,Idle
-0.013,-0.025,1.018,0.184,-2.004,0.061,Idle
-0.012,-0.025,1.018,0.192,-2.030,0.079,Idle
-0.012,-0.024,1.019,0.210,-2.013,0.079,Idle
-0.013,-0.023,1.020,0.210,-2.021,0.070,Idle
-0.012,-0.024,1.020,0.219,-2.030,0.114,Idle
-0.011,-0.024,1.019,0.175,-2.013,0.079,Idle
-0.011,-0.022,1.025,0.236,-2.047,0.114,Idle
-0.013,-0.026,1.012,0.201,-2.030,0.131,Idle
-0.014,-0.027,1.014,0.149,-2.013,0.123,Idle
-0.013,-0.025,1.016,0.192,-2.039,0.052,Idle
-0.012,-0.024,1.018,0.228,-1.995,0.087,Idle
-0.013,-0.024,1.019,0.201,-2.030,0.044,Idle
-0.012,-0.025,1.016,0.157,-2.065,0.096,Idle
-0.014,-0.027,1.014,0.175,-2.030,0.087,Idle
-0.012,-0.024,1.017,0.140,-2.013,0.079,Idle
-0.012,-0.023,1.020,0.175,-2.013,0.123,Idle
-0.013,-0.024,1.019,0.210,-2.021,0.096,Idle
-0.012,-0.025,1.019,0.192,-2.030,0.070,Idle
-0.013,-0.024,1.018,0.175,-2.030,0.070,Idle
-0.013,-0.024,1.019,0.166,-1.977,0.114,Idle
-0.012,-0.023,1.020,0.192,-2.047,0.079,Idle
-0.013,-0.024,1.019,0.192,-2.030,0.052,Idle
-0.013,-0.025,1.017,0.175,-2.021,0.087,Idle
-0.012,-0.023,1.020,0.175,-2.056,0.070,Idle
-0.012,-0.023,1.020,0.210,-2.030,0.087,Idle
-0.013,-0.024,1.019,0.192,-2.021,0.026,Idle
-0.012,-0.025,1.017,0.192,-2.021,0.131,Idle
-0.012,-0.024,1.018,0.175,-2.030,0.070,Idle
-0.013,-0.024,1.018,0.219,-2.056,0.096,Idle
-0.013,-0.024,1.018,0.175,-2.039,0.096,Idle
-0.011,-0.024,1.019,0.210,-2.047,0.105,Idle
-0.013,-0.024,1.016,0.192,-2.021,0.070,Idle
-0.013,-0.024,1.020,0.228,-2.047,0.044,Idle
-0.012,-0.025,1.018,0.175,-2.004,0.079,Idle
-0.013,-0.023,1.017,0.166,-2.021,0.079,Idle
-0.012,-0.024,1.022,0.166,-1.986,0.087,Idle
-0.012,-0.025,1.019,0.219,-2.013,0.114,Idle
-0.013,-0.024,1.018,0.184,-2.013,0.087,Idle
-0.014,-0.025,1.017,0.228,-1.995,0.070,Idle
-0.013,-0.025,1.019,0.184,-1.986,0.052,Idle
-0.013,-0.024,1.020,0.184,-2.021,0.087,Idle
-0.012,-0.024,1.019,0.184,-2.004,0.070,Idle
-0.012,-0.024,1.017,0.192,-2.056,0.070,Idle
-0.013,-0.023,1.019,0.219,-2.039,0.079,Idle
-0.013,-0.025,1.017,0.184,-2.039,0.079,Idle
-0.013,-0.024,1.019,0.201,-2.021,0.123,Idle
-0.013,-0.025,1.018,0.157,-2.039,0.044,Idle
-0.013,-0.025,1.018,0.175,-2.021,0.079,Idle
-0.012,-0.024,1.020,0.157,-2.047,0.035,Idle
-0.013,-0.025,1.018,0.219,-2.047,0.061,Idle
-0.012,-0.025,1.018,0.140,-2.021,0.079,Idle
-0.013,-0.024,1.018,0.192,-2.039,0.035,Idle
-0.012,-0.025,1.020,0.184,-2.047,0.061,Idle
-0.012,-0.023,1.019,0.201,-2.004,0.061,Idle
-0.013,-0.024,1.018,0.201,-2.021,0.114,Idle
-0.012,-0.024,1.018,0.210,-2.056,0.061,Idle
-0.011,-0.025,1.018,0.210,-2.013,0.052,Idle
-0.013,-0.025,1.018,0.192,-1.995,0.096,Idle
-0.013,-0.024,1.018,0.157,-2.013,0.123,Idle
-0.011,-0.024,1.017,0.201,-2.039,0.070,Idle
-0.012,-0.023,1.020,0.210,-2.039,0.105,Idle
-0.013,-0.025,1.018,0.192,-2.013,0.087,Idle
-0.013,-0.024,1.020,0.175,-2.030,0.114,Idle
-0.012,-0.023,1.018,0.192,-2.013,0.044,Idle
-0.013,-0.025,1.018,0.149,-2.013,0.105,Idle
-0.013,-0.023,1.020,0.166,-2.047,0.018,Idle
-0.012,-0.024,1.018,0.175,-1.977,0.123,Idle
-0.011,-0.025,1.018,0.166,-1.969,0.123,Idle
-0.014,-0.024,1.020,0.184,-2.004,0.140,Idle
-0.013,-0.024,1.018,0.175,-2.021,0.079,Idle
-0.012,-0.024,1.019,0.219,-2.047,0.079,Idle
-0.013,-0.024,1.018,0.210,-2.013,0.070,Idle
-0.013,-0.025,1.015,0.210,-1.977,0.087,Idle
-0.013,-0.026,1.016,0.166,-2.013,0.070,Idle
-0.013,-0.026,1.015,0.184,-1.986,0.105,Idle
-0.013,-0.025,1.018,0.131,-1.977,0.079,Idle
-0.013,-0.024,1.020,0.192,-2.021,0.123,Idle
-0.012,-0.024,1.018,0.210,-2.039,0.061,Idle
-0.013,-0.024,1.018,0.175,-2.004,0.114,Idle
-0.013,-0.025,1.018,0.192,-2.047,0.105,Idle
-0.013,-0.025,1.017,0.175,-2.056,0.087,Idle
-0.012,-0.025,1.018,0.219,-2.047,0.096,Idle
-0.013,-0.025,1.017,0.192,-2.004,0.131,Idle
-0.014,-0.025,1.017,0.201,-2.013,0.070,Idle
-0.013,-0.024,1.017,0.184,-2.074,0.061,Idle
-0.011,-0.024,1.019,0.210,-2.030,0.123,Idle
-0.012,-0.024,1.021,0.192,-2.030,0.079,Idle
-0.013,-0.025,1.017,0.157,-2.047,0.070,Idle
-0.012,-0.024,1.019,0.157,-2.013,0.009,Idle
-0.013,-0.025,1.017,0.166,-2.021,0.114,Idle
-0.012,-0.024,1.020,0.166,-2.004,0.061,Idle
-0.013,-0.025,1.017,0.201,-2.013,0.070,Idle
-0.013,-0.024,1.021,0.184,-2.004,0.123,Idle
-0.012,-0.024,1.020,0.166,-2.047,0.114,Idle
-0.014,-0.024,1.017,0.192,-2.056,0.052,Idle
-0.013,-0.025,1.016,0.201,-1.986,0.096,Idle
-0.012,-0.023,1.022,0.192,-2.013,0.105,Idle
-0.013,-0.023,1.021,0.175,-2.004,0.061,Idle
-0.012,-0.024,1.020,0.201,-2.065,0.061,Idle
-0.013,-0.024,1.019,0.175,-2.004,0.044,Idle
-0.012,-0.024,1.018,0.210,-2.039,0.087,Idle
-0.012,-0.022,1.021,0.192,-1.995,0.114,Idle
-0.013,-0.025,1.019,0.175,-2.030,0.052,Idle
-0.014,-0.025,1.017,0.131,-2.030,0.096,Idle
-0.013,-0.025,1.015,0.166,-2.047,0.070,Idle
-0.012,-0.024,1.018,0.192,-2.039,0.079,Idle
-0.013,-0.024,1.018,0.201,-2.030,0.044,Idle
-0.014,-0.025,1.015,0.175,-2.004,0.105,Idle
-0.012,-0.023,1.022,0.166,-2.030,0.087,Idle
-0.013,-0.026,1.015,0.166,-2.013,0.052,Idle
-0.012,-0.024,1.018,0.201,-2.056,0.052,Idle
-0.012,-0.024,1.017,0.210,-2.047,0.070,Idle
-0.013,-0.025,1.018,0.192,-2.013,0.087,Idle
-0.013,-0.024,1.019,0.192,-2.013,0.044,Idle
-0.012,-0.024,1.020,0.166,-2.039,0.061,Idle
-0.011,-0.024,1.022,0.201,-2.021,0.070,Idle
-0.013,-0.024,1.016,0.210,-2.030,0.009,Idle
-0.013,-0.025,1.017,0.228,-2.056,0.070,Idle
-0.013,-0.024,1.017,0.184,-2.030,0.114,Idle
-0.013,-0.025,1.016,0.210,-2.030,0.070,Idle
-0.012,-0.024,1.018,0.210,-2.065,0.018,Idle
-0.012,-0.024,1.018,0.175,-2.030,0.105,Idle
-0.012,-0.025,1.019,0.201,-2.030,0.105,Idle
-0.012,-0.025,1.018,0.157,-2.013,0.087,Idle
-0.013,-0.024,1.018,0.184,-2.056,0.079,Idle
-0.013,-0.024,1.017,0.175,-2.021,0.070,Idle
-0.013,-0.025,1.017,0.166,-2.030,0.061,Idle
-0.012,-0.024,1.018,0.157,-2.030,0.079,Idle
-0.012,-0.024,1.018,0.192,-2.030,0.087,Idle
-0.013,-0.024,1.017,0.192,-2.004,0.105,Idle
-0.013,-0.025,1.016,0.192,-2.021,0.061,Idle
-0.013,-0.024,1.018,0.184,-2.013,0.061,Idle
-0.012,-0.023,1.021,0.184,-2.013,0.079,Idle
-0.011,-0.024,1.021,0.210,-2.039,0.052,Idle
-0.012,-0.025,1.018,0.184,-2.047,0.061,Idle
-0.012,-0.024,1.020,0.184,-2.004,0.087,Idle
-0.013,-0.023,1.019,0.175,-2.021,0.070,Idle
-0.012,-0.024,1.018,0.184,-2.056,0.114,Idle
-0.013,-0.024,1.018,0.184,-2.030,0.079,Idle
-0.014,-0.024,1.018,0.166,-2.021,0.114,Idle
-0.012,-0.024,1.021,0.184,-2.030,0.070,Idle
-0.013,-0.023,1.020,0.184,-2.065,0.079,Idle
-0.012,-0.024,1.019,0.201,-2.047,0.096,Idle
-0.013,-0.023,1.020,0.175,-2.004,0.061,Idle
-0.013,-0.025,1.020,0.210,-2.047,0.070,Idle
-0.012,-0.024,1.018,0.192,-2.021,0.070,Idle
-0.013,-0.023,1.019,0.184,-2.047,0.105,Idle
-0.012,-0.023,1.020,0.149,-2.039,0.070,Idle
-0.013,-0.024,1.018,0.210,-2.004,0.087,Idle
-0.013,-0.025,1.018,0.201,-2.013,0.079,Idle
-0.013,-0.023,1.019,0.184,-2.004,0.131,Idle
-0.012,-0.023,1.020,0.175,-2.030,0.079,Idle
-0.012,-0.024,1.019,0.254,-1.986,0.061,Idle
-0.012,-0.025,1.018,0.140,-2.056,0.079,Idle
-0.012,-0.024,1.019,0.175,-2.004,0.061,Idle
-0.014,-0.025,1.018,0.210,-2.030,0.070,Idle
-0.012,-0.024,1.019,0.210,-2.004,0.079,Idle
-0.011,-0.023,1.020,0.228,-2.039,0.079,Idle
-0.013,-0.024,1.018,0.210,-2.039,0.087,Idle
-0.011,-0.022,1.020,0.219,-2.021,0.096,Idle
-0.012,-0.025,1.017,0.157,-2.030,0.123,Idle
-0.013,-0.028,1.007,0.149,-1.977,0.096,Idle
-0.015,-0.030,1.007,0.166,-2.021,0.105,Idle
-0.013,-0.022,1.023,0.166,-2.082,0.105,Idle
-0.017,-0.028,1.009,0.219,-2.065,0.026,Idle
-0.013,-0.023,1.020,0.201,-2.030,0.105,Idle
-0.011,-0.023,1.021,0.184,-1.995,0.105,Idle
-0.013,-0.025,1.018,0.184,-2.056,0.079,Idle
-0.012,-0.024,1.020,0.192,-2.039,0.105,Idle
-0.011,-0.023,1.021,0.149,-2.013,0.096,Idle
-0.013,-0.023,1.020,0.157,-2.074,0.061,Idle
-0.012,-0.024,1.018,0.175,-2.004,0.140,Idle
-0.013,-0.024,1.018,0.192,-1.995,0.079,Idle
-0.012,-0.025,1.018,0.245,-2.065,0.087,Idle
-0.013,-0.024,1.019,0.219,-2.056,0.096,Idle
-0.013,-0.025,1.017,0.175,-2.047,0.105,Idle
-0.013,-0.025,1.018,0.157,-2.082,0.114,Idle
-0.012,-0.024,1.019,0.192,-2.030,0.096,Idle
-0.013,-0.025,1.017,0.228,-2.021,0.105,Idle
-0.012,-0.024,1.018,0.175,-2.039,0.061,Idle
-0.012,-0.024,1.017,0.219,-2.074,0.070,Idle
-0.012,-0.025,1.016,0.166,-1.977,0.105,Idle
-0.013,-0.025,1.018,0.175,-2.056,0.061,Idle
-0.012,-0.024,1.018,0.192,-2.047,0.070,Idle
-0.011,-0.023,1.021,0.140,-2.056,0.070,Idle
-0.012,-0.022,1.022,0.166,-1.995,0.087,Idle
-0.012,-0.025,1.017,0.201,-2.039,0.044,Idle
-0.012,-0.024,1.019,0.219,-2.047,0.087,Idle
-0.012,-0.024,1.019,0.184,-2.030,0.052,Idle
-0.013,-0.024,1.017,0.140,-1.986,0.087,Idle
-0.013,-0.024,1.019,0.184,-2.021,0.079,Idle
-0.012,-0.025,1.019,0.210,-2.039,0.123,Idle
-0.012,-0.024,1.019,0.192,-2.021,0.079,Idle
-0.013,-0.024,1.020,0.175,-2.056,0.114,Idle
-0.013,-0.024,1.017,0.201,-2.056,0.105,Idle
-0.012,-0.026,1.016,0.184,-2.004,0.114,Idle
-0.012,-0.023,1.020,0.175,-2.039,0.087,Idle
-0.012,-0.023,1.022,0.210,-2.039,0.070,Idle
-0.012,-0.025,1.020,0.175,-2.039,0.096,Idle
-0.013,-0.025,1.018,0.219,-2.004,0.079,Idle
-0.012,-0.024,1.019,0.184,-2.039,0.070,Idle
-0.013,-0.025,1.018,0.175,-2.013,0.105,Idle
-0.012,-0.024,1.018,0.219,-2.030,0.087,Idle
-0.013,-0.024,1.017,0.166,-1.977,0.096,Idle
-0.012,-0.024,1.019,0.201,-2.030,0.096,Idle
-0.013,-0.024,1.018,0.184,-2.074,0.087,Idle
-0.013,-0.024,1.018,0.219,-1.986,0.105,Idle
-0.012,-0.025,1.019,0.228,-2.030,0.035,Idle
-0.013,-0.025,1.019,0.184,-2.021,0.096,Idle
-0.013,-0.023,1.018,0.166,-2.030,0.079,Idle
-0.012,-0.024,1.019,0.166,-2.030,0.061,Idle
-0.012,-0.024,1.020,0.184,-2.047,0.114,Idle
-0.013,-0.024,1.019,0.175,-1.995,0.079,Idle
-0.012,-0.024,1.019,0.184,-2.013,0.087,Idle
-0.012,-0.025,1.017,0.166,-2.039,0.087,Idle
-0.013,-0.024,1.020,0.175,-2.030,0.079,Idle
-0.013,-0.025,1.018,0.192,-2.030,0.070,Idle
-0.013,-0.025,1.018,0.184,-2.056,0.079,Idle
-0.012,-0.024,1.018,0.175,-2.047,0.114,Idle
-0.013,-0.025,1.018,0.201,-2.021,0.061,Idle
-0.013,-0.023,1.018,0.201,-1.977,0.061,Idle
-0.012,-0.026,1.018,0.192,-2.039,0.070,Idle
-0.012,-0.025,1.018,0.184,-2.021,0.087,Idle
-0.013,-0.024,1.019,0.210,-2.004,0.070,Idle
-0.014,-0.025,1.018,0.184,-2.013,0.061,Idle
-0.011,-0.024,1.017,0.184,-1.995,0.061,Idle
-0.013,-0.024,1.019,0.192,-2.021,0.114,Idle
-0.012,-0.025,1.019,0.201,-2.030,0.105,Idle
-0.012,-0.025,1.020,0.192,-2.039,0.087,Idle
-0.012,-0.024,1.018,0.201,-2.030,0.096,Idle
-0.012,-0.024,1.020,0.201,-2.021,0.035,Idle
-0.013,-0.025,1.018,0.166,-1.995,0.105,Idle
-0.012,-0.025,1.016,0.192,-2.030,0.105,Idle
-0.012,-0.023,1.020,0.157,-2.047,0.096,Idle
-0.014,-0.024,1.016,0.192,-2.039,0.114,Idle
-0.013,-0.025,1.019,0.166,-2.056,0.087,Idle
-0.012,-0.024,1.019,0.184,-2.056,0.061,Idle
-0.011,-0.023,1.022,0.175,-2.056,0.061,Idle
-0.013,-0.024,1.018,0.184,-2.039,0.052,Idle
-0.012,-0.024,1.018,0.210,-2.039,0.131,Idle
-0.012,-0.025,1.018,0.157,-2.056,0.114,Idle
-0.012,-0.024,1.019,0.210,-2.013,0.114,Idle
-0.013,-0.024,1.018,0.210,-2.065,0.096,Idle
-0.013,-0.024,1.017,0.149,-2.065,0.105,Idle
